攝影機名稱,車牌,單位,日期,時間,攝影機,LocationID,經度,緯度
(租11402)介壽路(台4)、仁善街-4.往介壽路往興豐路(車),NOR-1002,圳頂派出所,2025-08-01,08:08:00,2030790031,LOC_1705,121.286972,24.90829
(租11402)介壽路(台4)、仁善街-3.往仁善街往埔仁路(車),NOR-1002,圳頂派出所,2025-08-01,08:08:05,2030790021,LOC_1704,121.286205,24.908051
(租11402)介壽路(台4)、仁善街-2.往介壽路往員林路一段(車),NOR-1002,圳頂派出所,2025-08-01,08:08:09,2030790011,LOC_1703,121.286422,24.907734
(租11402)介壽路(台4)、介壽路891巷-3.往介壽路891巷往仁福宮前道路(車),NOR-1002,圳頂派出所,2025-08-01,08:08:22,2030427021,LOC_1708,121.286172,24.906234
(租11401)仁德南街、仁美街135巷-2.往長興路三段(車),NOR-1002,圳頂派出所,2025-08-01,08:09:02,2030426011,LOC_1675,121.285474,24.9105
(租11401)仁德南街、仁美街135巷-3.往仁美一街(車),NOR-1002,圳頂派出所,2025-08-01,08:09:05,2030426021,LOC_1676,121.28533,24.910766
(租11401)仁德南街、仁美街135巷-4.往埔仁路(車),NOR-1002,圳頂派出所,2025-08-01,08:09:07,2030426031,LOC_1677,121.285038,24.910665
(租11402)慈光街、慈光二街、埔頂二街-3.往埔頂二街往埔頂七街(車),NOR-1002,圳頂派出所,2025-08-01,08:10:37,2030826021,LOC_1737,121.280727,24.903495
(租11402)慈光街、慈光二街、埔頂二街-4.往慈光二街往慈光一街(車),NOR-1002,圳頂派出所,2025-08-01,08:10:45,2030826031,LOC_1738,121.280488,24.902647
(租11402)埔仁路、埔頂二街、公園三街-4.往埔頂二街往埔頂街(車),NOR-1002,圳頂派出所,2025-08-01,08:11:06,2030827031,LOC_1722,121.278193,24.902396
(租11402)埔仁路、埔頂二街、公園三街-3.往公園三街往埔仁路192巷(車),NOR-1002,圳頂派出所,2025-08-01,08:11:12,2030827021,LOC_1721,121.278156,24.901808
(租11402)埔頂街、隆德街、仁和路一段-4.往埔頂街往埔頂一街(車),NOR-1002,圳頂派出所,2025-08-01,08:11:27,2030825031,LOC_1726,121.276013,24.901762
(租11402)埔頂街、隆德街、仁和路一段-5.往埔頂街15巷往埔頂路一段(車),NOR-1002,圳頂派出所,2025-08-01,08:11:31,2030825041,LOC_1727,121.275726,24.901906
(租11402)埔頂街、隆德街、仁和路一段-3.往隆德街往埔頂路一段(車),NOR-1002,圳頂派出所,2025-08-01,08:11:40,2030825021,LOC_1725,121.275375,24.900885
(租11401)仁和路一段(市112)、仁和七街-5.往埔頂街(車),NOR-1002,圳頂派出所,2025-08-01,08:11:48,2030425041,LOC_1665,121.276375,24.900168
(租11401)仁和路一段(市112)、仁和七街-3.往仁和一街(車),NOR-1002,圳頂派出所,2025-08-01,08:11:51,2030425021,LOC_1663,121.276244,24.899881
(租11401)仁和路一段(市112)、仁和七街-2.往員林路一段(車),NOR-1002,圳頂派出所,2025-08-01,08:11:54,2030425011,LOC_1662,121.276633,24.899833
(租11401)仁和路一段(市112)、仁和七街-4.往埔頂二街(車),NOR-1002,圳頂派出所,2025-08-01,08:11:57,2030425031,LOC_1664,121.276729,24.900089
