攝影機名稱,車牌,單位,日期,時間,攝影機,LocationID,經度,緯度,ConvoyID,FollowingID
(租11401)泰圳路、泰圳路200巷口-5.往泰圳路222巷(車),NOR-1003,上湖派出所,2025-08-01,08:26:00,2050225041,LOC_2258,121.112439,24.906033,,
(租11401)泰圳路、泰圳路200巷口-4.往泰圳路200巷(車),NOR-1003,上湖派出所,2025-08-01,08:26:04,2050225031,LOC_2257,121.112383,24.906291,,
(租11401)泰圳路、泰圳路200巷口-3.往泰圳路190巷(車),NOR-1003,上湖派出所,2025-08-01,08:26:16,2050225021,LOC_2256,121.112687,24.906846,,
(租11401)泰圳路、泰圳路200巷口-2.往泰圳路177巷(車),NOR-1003,上湖派出所,2025-08-01,08:26:21,2050225011,LOC_2255,121.11292,24.906736,,
(租11402)泰圳路、上湖一路口-2.往泰圳路684巷(車),NOR-1003,上湖派出所,2025-08-01,08:29:19,2050278011,LOC_2267,121.104763,24.903042,,
(租11402)泰圳路、上湖一路口-3.往三湖路(車),NOR-1003,上湖派出所,2025-08-01,08:29:34,2050278021,LOC_2268,121.104178,24.903201,,
(租11402)泰圳路、上湖一路口-4.往泰圳路820巷(車),NOR-1003,上湖派出所,2025-08-01,08:29:57,2050278031,LOC_2269,121.104487,24.902158,,
(租11402)龍安街、文中路(二)-4.往龍安街往國強一街(車),NOR-1005,龍安派出所,2025-08-01,08:32:00,2010770131,LOC_0490,121.278111,24.993426,,
(租11402)龍安街、文中路-4.往龍安街往國強一街(車),NOR-1005,龍安派出所,2025-08-01,08:32:09,2010770031,LOC_0487,121.278374,24.993772,,
(租11402)龍安街、文中路-5.往國強十三街往國豐三街(車),NOR-1005,龍安派出所,2025-08-01,08:32:11,2010770041,LOC_0487,121.27844,24.993782,,
(租11402)龍安街、文中路-2.往文中路外車道往國豐十街(車),NOR-1005,龍安派出所,2025-08-01,08:32:16,2010770011,LOC_0486,121.27822,24.993978,,
(租11402)龍安街、文中路-3.往文中路內車道往國豐十街(車),NOR-1005,龍安派出所,2025-08-01,08:32:17,2010770021,LOC_0486,121.278226,24.994016,,
(租11402)龍安街、文中路(二)-2.往文中路外車道往國豐十街(車),NOR-1005,龍安派出所,2025-08-01,08:32:32,2010770111,LOC_0489,121.277282,24.99361,,
(租11402)龍安街、文中路(二)-3.往文中路內車道往國豐十街(車),NOR-1005,龍安派出所,2025-08-01,08:32:32,2010770121,LOC_0489,121.277251,24.993603,,
(租11402)龍安街、文中路(二)-5.往國強十三街往國豐三街(車),NOR-1005,龍安派出所,2025-08-01,08:32:46,2010770141,LOC_0491,121.277875,24.993026,,
(租11401)國強十一街與國豐八街口-4.往國強十一街往國豐七街(車),NOR-1005,龍安派出所,2025-08-01,08:33:44,2010075031,LOC_0456,121.27588,24.991267,,
(租11401)國強十一街與國豐八街口-5.往國豐八街(車),NOR-1005,龍安派出所,2025-08-01,08:33:53,2010075041,LOC_0457,121.275532,24.991542000000003,,
(租11401)國強十一街與國豐八街口-3.往國強十一街往國豐十街(車),NOR-1005,龍安派出所,2025-08-01,08:34:04,2010075021,LOC_0455,121.275364,24.991079,,
(租11401)國強七街與國豐六街口-4.往國豐六街往國強八街(車),NOR-1005,龍安派出所,2025-08-01,08:35:38,2010074031,LOC_0450,121.2783,24.988496,,
(租11401)國強七街與國豐六街口-6.往國強七街往龍安街(車),NOR-1005,龍安派出所,2025-08-01,08:35:44,2010074051,LOC_0447,121.278483,24.988292,,
(租11401)國強七街與國豐六街口-7.往國豐六街往龍鳳三街(車),NOR-1005,龍安派出所,2025-08-01,08:35:49,2010074061,LOC_0452,121.278496,24.988032,,
(租11401)國強七街與國豐六街口-5.往國強七街往國強七街32巷(車),NOR-1005,龍安派出所,2025-08-01,08:35:58,2010074041,LOC_0451,121.278002,24.988121,,
(租11402)泰圳路、上湖二路-3.往泰圳路820巷(車),NOR-1003,上湖派出所,2025-08-01,08:36:00,2050915021,LOC_2272,121.091929,24.895914,,
(租11402)泰圳路、上湖二路-4.往楊湖路二段719巷(車),NOR-1003,上湖派出所,2025-08-01,08:36:08,2050915031,LOC_2273,121.091519,24.895929,,
(租11402)泰圳路、上湖二路-2.往八德路三段135巷(車),NOR-1003,上湖派出所,2025-08-01,08:36:14,2050915011,LOC_2271,121.091617,24.895593,,
(租11402)泰圳路、泰圳路1450巷口-3.往新竹(車),NOR-1003,上湖派出所,2025-08-01,08:36:50,2050279021,LOC_2276,121.090044,24.895009,,
(租11402)泰圳路、泰圳路1450巷口-2.往新竹(車),NOR-1003,上湖派出所,2025-08-01,08:36:55,2050279011,LOC_2275,121.090011,24.894771,,
(租11401)中山路943巷1弄-4.往中山路943巷往中山路(車),NOR-1005,龍安派出所,2025-08-01,08:37:18,2010046031,LOC_0437,121.282994,24.987052,,
(租11401)中華路與中華北街-3.往中華北街(車),NOR-1005,高明派出所,2025-08-01,08:39:50,2080592021,LOC_3588,121.276573,24.982187,,
(租11401)中華路與中華北街-4.往中華北街(車),NOR-1005,高明派出所,2025-08-01,08:39:54,2080592031,LOC_3589,121.276352,24.982356,,
(租11401)高鐵南路十段、上湖二路口(二)-5.往上湖二路300巷(車),NOR-1003,上湖派出所,2025-08-01,08:40:34,2050227041,LOC_2262,121.086218,24.906585,,
(租11402)高鐵南路十段、上湖二路口(一)-2.高鐵南路十段往新竹內車道(車),NOR-1003,上湖派出所,2025-08-01,08:40:43,2050284011,LOC_2279,121.085912,24.907078,,
(租11402)高鐵南路十段、上湖二路口(一)-3.高鐵南路十段往新竹外車道(車),NOR-1003,上湖派出所,2025-08-01,08:40:44,2050284021,LOC_2279,121.085887,24.90709,,
(租11401)中華路與高城六街48巷口-4.往高城六街48巷(車),NOR-1005,高明派出所,2025-08-01,08:40:46,2080593031,LOC_3592,121.274303,24.979626,,
(租11401)高鐵南路十段、上湖二路口(二)-3.高鐵南路十段往楊湖路三段外車道(車),NOR-1003,上湖派出所,2025-08-01,08:40:54,2050227021,LOC_2260,121.08628,24.907347,,
(租11401)高鐵南路十段、上湖二路口(二)-2.高鐵南路十段往楊湖路三段內車道(車),NOR-1003,上湖派出所,2025-08-01,08:40:54,2050227011,LOC_2260,121.086287,24.907363,,
(租11401)高鐵南路十段、上湖二路口(二)-4.往上湖三路421巷(車),NOR-1003,上湖派出所,2025-08-01,08:41:01,2050227031,LOC_2261,121.08664,24.907246,,
(租11402)高鐵南路十段、上湖二路口(一)-4.往上湖二路90巷(車),NOR-1003,上湖派出所,2025-08-01,08:41:16,2050284031,LOC_2280,121.085877,24.907574,,
(租11402)高鐵南路十段、上湖二路口(一)-5.往楊湖路三段875巷(車),NOR-1003,上湖派出所,2025-08-01,08:41:33,2050284041,LOC_2281,121.08517,24.907437,,
(租11401)中華路與高城六街48巷口-3.往龍祥街(車),NOR-1005,高明派出所,2025-08-01,08:41:38,2080593021,LOC_3591,121.271954,24.979301,,
(租11401)中山路與中山路1496巷-6.往中山路內車道(車),NOR-1005,龍安派出所,2025-08-01,08:43:28,2010006051,LOC_0438,121.268199,24.976535,,
(租11401)中山路與中山路1496巷-5.往中山路外車道(車),NOR-1005,龍安派出所,2025-08-01,08:43:29,2010006041,LOC_0438,121.268177,24.976557,,
(租11401)雙龍街29巷與中山路1530巷口-4.往雙龍街29巷往中山街(車),NOR-1005,龍安派出所,2025-08-01,08:44:11,2010039031,LOC_0466,121.265831,24.97812,,
(租11401)雙龍街29巷與中山路1530巷口-3.往雙龍街29巷往雙龍街(車),NOR-1005,龍安派出所,2025-08-01,08:44:46,2010039021,LOC_0467,121.266195,24.9796,,
(租11402)龍門街24號前十字路口-6.往龍門街往中壢成功路(車),NOR-1005,龍安派出所,2025-08-01,08:46:02,2010092051,LOC_0499,121.263497,24.977497,,
(租11401)龍山街186巷與中山路1562巷口-6.往中山路1562巷往龍門街(車),NOR-1005,龍安派出所,2025-08-01,08:46:42,2010038051,LOC_0463,121.26263,24.979683,,
(租11401)龍山街186巷與中山路1562巷口-5.往龍門街(車),NOR-1005,龍安派出所,2025-08-01,08:47:04,2010038041,LOC_0462,121.262647,24.980464,,
(租11402)楊湖路三段846巷與富豐三路二段口-2.往富民街(車),NOR-1003,上湖派出所,2025-08-01,08:47:18,2051005011,LOC_2283,121.078161,24.917773,,
(租11402)楊湖路三段846巷與富豐三路二段口-3.往富豐二路(車),NOR-1003,上湖派出所,2025-08-01,08:47:23,2051005021,LOC_2284,121.077966,24.917918,,
(租11401)龍山街186巷與中山路1562巷口-4.往中山路1562巷往內定一街(車),NOR-1005,龍安派出所,2025-08-01,08:47:28,2010038031,LOC_0461,121.262456,24.981445,,
(租11402)龍山街與內定一街口-5.往龍門街(車),NOR-1005,龍安派出所,2025-08-01,08:48:15,2010091041,LOC_0484,121.260617,24.98389,,
(租11402)龍山街與內定一街口-3.往龍門街(車),NOR-1005,龍安派出所,2025-08-01,08:48:26,2010091021,LOC_0482,121.260533,24.984459,,
(租11402)富豐二、富豐二259巷、260巷口-2.往楊湖路三段846巷(車),NOR-1003,富岡派出所,2025-08-01,08:50:30,2051007011,LOC_2496,121.081408,24.925559,,
(租11402)富豐二、富豐二259巷、260巷口-3.往富元街465巷(車),NOR-1003,富岡派出所,2025-08-01,08:50:43,2051007021,LOC_2497,121.081981,24.925908,,
(租11401)中正路、成功路口-4.往中華街66巷(車),NOR-1003,富岡派出所,2025-08-01,08:53:03,2050202031,LOC_2474,121.082885,24.934619,,
(租11401)中正路、成功路口-3.往中華街(車),NOR-1003,富岡派出所,2025-08-01,08:53:16,2050202021,LOC_2473,121.083021,24.935181,,
(租11401)中正路、成功路口-5.往成功路20巷(車),NOR-1003,富岡派出所,2025-08-01,08:53:31,2050202041,LOC_2475,121.083626,24.934767,,
(租11401)民生街(桃109)、民生街505巷-3.往民生街375巷(車),NOR-1003,富岡派出所,2025-08-01,08:58:44,2050208021,LOC_2478,121.087438,24.945331,,
(租11401)民生街(桃109)、民生街505巷-2.往民生街505巷(車),NOR-1003,富岡派出所,2025-08-01,08:59:03,2050208011,LOC_2477,121.087732,24.946018,,
(租11401)民生街(桃109)、民生街505巷-4.往民有路二段(車),NOR-1003,富岡派出所,2025-08-01,08:59:14,2050208031,LOC_2479,121.087243,24.946168,,
(租11401)中興路756巷口-2.往福林街(車),NOR-1002,大竹派出所,2025-08-01,09:36:00,2100706011,LOC_3971,121.249175,25.008645,,
(租11401)中興路756巷口-3.往福林街(車),NOR-1002,大竹派出所,2025-08-01,09:36:01,2100706021,LOC_3971,121.249105,25.008626,,
(租11401)中興路756巷口-6.往大竹內車道(車),NOR-1002,大竹派出所,2025-08-01,09:36:09,2100706051,LOC_3974,121.249394,25.008432,,
