攝影機名稱,車牌,單位,日期,時間,攝影機,經度,緯度
楊梅區-A住宅區-巷口,NOR-1002,楊梅派出所,2025-08-01,08:26:15,2288784783,121.1,24.8
楊梅區-A住宅區-巷口,NOR-1001,楊梅派出所,2025-08-01,08:32:38,2288784783,121.1,24.8
楊梅區-交流道A,NOR-1002,楊梅派出所,2025-08-01,08:34:16,2329904567,121.14285714285714,24.842857142857145
楊梅區-A住宅區-巷口,NOR-1004,楊梅派出所,2025-08-01,08:35:26,2288784783,121.1,24.8
楊梅區-交流道A,NOR-1001,楊梅派出所,2025-08-01,08:41:15,2329904567,121.14285714285714,24.842857142857145
交通幹道-AB段,NOR-1002,交通大隊,2025-08-01,08:43:30,2191018895,121.34642857142858,25.046428571428574
楊梅區-交流道A,NOR-1004,楊梅派出所,2025-08-01,08:46:14,2329904567,121.14285714285714,24.842857142857145
楊梅區-A住宅區-巷口,NOR-1005,楊梅派出所,2025-08-01,08:47:23,2288784783,121.1,24.8
交通幹道-AB段,NOR-1001,交通大隊,2025-08-01,08:49:46,2191018895,121.34642857142858,25.046428571428574
中壢區-交流道B,NOR-1002,中壢派出所,2025-08-01,08:52:29,2829370738,121.19642857142857,24.896428571428572
楊梅區-交流道A,NOR-1005,楊梅派出所,2025-08-01,08:57:13,2329904567,121.14285714285714,24.842857142857145
交通幹道-AB段,NOR-1004,交通大隊,2025-08-01,08:57:20,2191018895,121.34642857142858,25.046428571428574
中壢區-交流道B,NOR-1001,中壢派出所,2025-08-01,09:00:13,2829370738,121.19642857142857,24.896428571428572
中壢區-B園區-入口,TER-9999,中壢派出所,2025-08-01,09:02:00,2250077692,121.15357142857142,24.853571428571428
中壢區-B園區-入口,NOR-1002,中壢派出所,2025-08-01,09:03:47,2250077692,121.15357142857142,24.853571428571428
中壢區-交流道B,NOR-1004,中壢派出所,2025-08-01,09:07:02,2829370738,121.19642857142857,24.896428571428572
交通幹道-AB段,NOR-1005,交通大隊,2025-08-01,09:09:06,2191018895,121.34642857142858,25.046428571428574
中壢區-B園區-入口,NOR-1001,中壢派出所,2025-08-01,09:12:02,2250077692,121.15357142857142,24.853571428571428
中壢區-B園區-內部,NOR-1002,中壢派出所,2025-08-01,09:12:22,2592795868,121.16428571428571,24.864285714285714
中壢區-B園區-內部,NOR-1002,中壢派出所,2025-08-01,09:12:22,2592795868,121.16428571428571,24.864285714285714
中壢區-B園區-入口,NOR-1004,中壢派出所,2025-08-01,09:15:05,2250077692,121.15357142857142,24.853571428571428
中壢區-B園區-入口,TER-9999,中壢派出所,2025-08-01,09:16:15,2250077692,121.15357142857142,24.853571428571428
中壢區-交流道B,NOR-1005,中壢派出所,2025-08-01,09:17:10,2829370738,121.19642857142857,24.896428571428572
中壢區-B園區-內部,NOR-1001,中壢派出所,2025-08-01,09:21:19,2592795868,121.16428571428571,24.864285714285714
中壢區-B園區-內部,NOR-1001,中壢派出所,2025-08-01,09:21:19,2592795868,121.16428571428571,24.864285714285714
中壢區-B園區-內部,NOR-1004,中壢派出所,2025-08-01,09:24:19,2592795868,121.16428571428571,24.864285714285714
中壢區-B園區-內部,NOR-1004,中壢派出所,2025-08-01,09:24:19,2592795868,121.16428571428571,24.864285714285714
中壢區-B商業大道-2,TER-9999,中壢派出所,2025-08-01,09:25:47,2615282047,121.18571428571428,24.885714285714286
中壢區-B園區-入口,NOR-1005,中壢派出所,2025-08-01,09:27:12,2250077692,121.15357142857142,24.853571428571428
中壢區-交流道B,TER-9999,中壢派出所,2025-08-01,09:34:34,2829370738,121.19642857142857,24.896428571428572
中壢區-B園區-內部,NOR-1005,中壢派出所,2025-08-01,09:37:48,2592795868,121.16428571428571,24.864285714285714
中壢區-B園區-內部,NOR-1005,中壢派出所,2025-08-01,09:37:48,2592795868,121.16428571428571,24.864285714285714
中壢區-B商業大道-1,TER-9999,中壢派出所,2025-08-01,09:44:28,2153912235,121.175,24.875
中壢區-B園區-入口,TER-9999,中壢派出所,2025-08-01,09:44:28,2250077692,121.15357142857142,24.853571428571428
中壢區-B商業大道-1,TER-9999,中壢派出所,2025-08-01,09:57:45,2153912235,121.175,24.875
中壢區-B商業大道-2,TER-9999,中壢派出所,2025-08-01,10:07:47,2615282047,121.18571428571428,24.885714285714286
中壢區-B園區-內部,SPA-7777,中壢派出所,2025-08-01,10:08:24,2592795868,121.16428571428571,24.864285714285714
中壢區-交流道B,TER-9999,中壢派出所,2025-08-01,10:16:23,2829370738,121.19642857142857,24.896428571428572
中壢區-B園區-入口,SPA-7777,中壢派出所,2025-08-01,10:16:53,2250077692,121.15357142857142,24.853571428571428
中壢區-交流道B,SPA-7777,中壢派出所,2025-08-01,10:25:03,2829370738,121.19642857142857,24.896428571428572
