攝影機名稱,車牌,單位,日期,時間,攝影機,經度,緯度
楊梅區-A住宅區-巷口,NOR-1001,楊梅派出所,2025-08-01,08:10:22,2874031857,121.1,24.8
楊梅區-A住宅區-巷口,NOR-1005,楊梅派出所,2025-08-01,08:16:08,2874031857,121.1,24.8
楊梅區-交流道A,NOR-1001,楊梅派出所,2025-08-01,08:19:13,2215275639,121.14285714285714,24.842857142857145
楊梅區-交流道A,NOR-1005,楊梅派出所,2025-08-01,08:25:30,2215275639,121.14285714285714,24.842857142857145
交通幹道-AB段,NOR-1001,交通大隊,2025-08-01,08:29:58,2252769213,121.34642857142858,25.046428571428574
楊梅區-A住宅區-巷口,NOR-1004,楊梅派出所,2025-08-01,08:33:29,2874031857,121.1,24.8
交通幹道-AB段,NOR-1005,交通大隊,2025-08-01,08:35:42,2252769213,121.34642857142858,25.046428571428574
楊梅區-A住宅區-巷口,NOR-1002,楊梅派出所,2025-08-01,08:36:46,2874031857,121.1,24.8
中壢區-交流道B,NOR-1001,中壢派出所,2025-08-01,08:41:03,2641986059,121.19642857142857,24.896428571428572
楊梅區-交流道A,NOR-1004,楊梅派出所,2025-08-01,08:45:26,2215275639,121.14285714285714,24.842857142857145
中壢區-交流道B,NOR-1005,中壢派出所,2025-08-01,08:45:34,2641986059,121.19642857142857,24.896428571428572
楊梅區-交流道A,NOR-1002,楊梅派出所,2025-08-01,08:48:07,2215275639,121.14285714285714,24.842857142857145
中壢區-B園區-入口,NOR-1001,中壢派出所,2025-08-01,08:50:48,2497330458,121.15357142857142,24.853571428571428
交通幹道-AB段,NOR-1004,交通大隊,2025-08-01,08:54:55,2252769213,121.34642857142858,25.046428571428574
楊梅區-A住宅區-巷口,NOR-1003,楊梅派出所,2025-08-01,08:54:58,2874031857,121.1,24.8
交通幹道-AB段,NOR-1002,交通大隊,2025-08-01,08:57:01,2252769213,121.34642857142858,25.046428571428574
中壢區-B園區-入口,NOR-1005,中壢派出所,2025-08-01,08:57:01,2497330458,121.15357142857142,24.853571428571428
中壢區-B園區-內部,NOR-1001,中壢派出所,2025-08-01,08:59:55,2757057287,121.16428571428571,24.864285714285714
中壢區-B園區-內部,NOR-1001,中壢派出所,2025-08-01,08:59:55,2757057287,121.16428571428571,24.864285714285714
中壢區-交流道B,NOR-1004,中壢派出所,2025-08-01,09:03:07,2641986059,121.19642857142857,24.896428571428572
楊梅區-交流道A,NOR-1003,楊梅派出所,2025-08-01,09:04:57,2215275639,121.14285714285714,24.842857142857145
中壢區-交流道B,NOR-1002,中壢派出所,2025-08-01,09:05:51,2641986059,121.19642857142857,24.896428571428572
中壢區-B園區-內部,NOR-1005,中壢派出所,2025-08-01,09:08:24,2757057287,121.16428571428571,24.864285714285714
中壢區-B園區-內部,NOR-1005,中壢派出所,2025-08-01,09:08:24,2757057287,121.16428571428571,24.864285714285714
中壢區-B園區-入口,NOR-1004,中壢派出所,2025-08-01,09:11:25,2497330458,121.15357142857142,24.853571428571428
交通幹道-AB段,NOR-1003,交通大隊,2025-08-01,09:14:37,2252769213,121.34642857142858,25.046428571428574
中壢區-B園區-入口,TER-9999,中壢派出所,2025-08-01,09:16:00,2497330458,121.15357142857142,24.853571428571428
中壢區-B園區-入口,NOR-1002,中壢派出所,2025-08-01,09:17:49,2497330458,121.15357142857142,24.853571428571428
中壢區-B園區-內部,NOR-1004,中壢派出所,2025-08-01,09:20:14,2757057287,121.16428571428571,24.864285714285714
中壢區-B園區-內部,NOR-1004,中壢派出所,2025-08-01,09:20:14,2757057287,121.16428571428571,24.864285714285714
