攝影機名稱,車牌,單位,日期,時間,攝影機,經度,緯度
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-11,08:03:00,2860436411,121.15,24.9
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-11,08:11:00,2265252987,121.17608695652174,24.92608695652174
交通幹道-AB段,AFR-5678,交通大隊,2025-08-11,08:16:00,2769777146,121.27391304347826,25.02391304347826
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-11,08:17:00,2860436411,121.15,24.9
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-11,08:22:00,2116242969,121.20869565217392,24.958695652173912
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-11,08:29:00,2265252987,121.17608695652174,24.92608695652174
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-11,08:31:00,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-11,08:38:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-11,08:38:00,2633412520,121.18913043478261,24.93913043478261
交通幹道-AB段,BKE-6831,交通大隊,2025-08-11,08:41:00,2769777146,121.27391304347826,25.02391304347826
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-11,08:46:00,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-11,08:53:00,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-11,09:04:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-11,09:04:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-11,17:28:10,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-11,18:00:10,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-11,18:05:46,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-11,18:10:10,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-11,18:13:00,2633412520,121.18913043478261,24.93913043478261
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-11,18:21:10,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-11,18:24:00,2988156894,121.18260869565218,24.932608695652174
交通幹道-AB段,AFR-5678,交通大隊,2025-08-11,18:31:10,2769777146,121.27391304347826,25.02391304347826
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-11,18:34:00,2116242969,121.20869565217392,24.958695652173912
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-11,18:37:10,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-11,18:44:10,2860436411,121.15,24.9
交通幹道-AB段,BKE-6831,交通大隊,2025-08-11,18:45:00,2769777146,121.27391304347826,25.02391304347826
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-11,18:56:00,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-11,19:04:00,2860436411,121.15,24.9
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-12,08:04:00,2860436411,121.15,24.9
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-12,08:14:00,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-12,08:21:00,2860436411,121.15,24.9
交通幹道-AB段,AFR-5678,交通大隊,2025-08-12,08:24:00,2769777146,121.27391304347826,25.02391304347826
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-12,08:27:00,2265252987,121.17608695652174,24.92608695652174
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-12,08:32:00,2116242969,121.20869565217392,24.958695652173912
交通幹道-AB段,BKE-6831,交通大隊,2025-08-12,08:33:00,2769777146,121.27391304347826,25.02391304347826
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-12,08:44:00,2988156894,121.18260869565218,24.932608695652174
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-12,08:45:00,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-12,08:53:00,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-12,08:56:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-12,08:56:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-12,09:00:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-12,09:00:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-12,17:40:23,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-12,18:18:58,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-12,18:20:23,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-12,18:28:23,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-12,18:32:00,2633412520,121.18913043478261,24.93913043478261
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-12,18:35:23,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-12,18:40:00,2988156894,121.18260869565218,24.932608695652174
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-12,18:45:00,2116242969,121.20869565217392,24.958695652173912
交通幹道-AB段,AFR-5678,交通大隊,2025-08-12,18:46:23,2769777146,121.27391304347826,25.02391304347826
交通幹道-AB段,BKE-6831,交通大隊,2025-08-12,18:51:00,2769777146,121.27391304347826,25.02391304347826
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-12,18:51:23,2265252987,121.17608695652174,24.92608695652174
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-12,18:56:00,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-12,18:57:23,2860436411,121.15,24.9
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-12,19:03:00,2860436411,121.15,24.9
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-13,07:50:00,2860436411,121.15,24.9
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-13,08:02:00,2265252987,121.17608695652174,24.92608695652174
交通幹道-AB段,AFR-5678,交通大隊,2025-08-13,08:12:00,2769777146,121.27391304347826,25.02391304347826
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-13,08:12:00,2860436411,121.15,24.9
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-13,08:17:00,2116242969,121.20869565217392,24.958695652173912
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-13,08:21:00,2265252987,121.17608695652174,24.92608695652174
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-13,08:23:00,2988156894,121.18260869565218,24.932608695652174
交通幹道-AB段,BKE-6831,交通大隊,2025-08-13,08:31:00,2769777146,121.27391304347826,25.02391304347826
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-13,08:34:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-13,08:34:00,2633412520,121.18913043478261,24.93913043478261
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-13,08:36:00,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-13,08:47:00,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-13,08:58:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-13,08:58:00,2633412520,121.18913043478261,24.93913043478261
楊梅區-A住宅區-巷口,CXY-1234,楊梅派出所,2025-08-13,14:09:00,2860436411,121.15,24.9
楊梅區-交流道A,CXY-1234,楊梅派出所,2025-08-13,14:19:00,2265252987,121.17608695652174,24.92608695652174
交通幹道-AB段,CXY-1234,交通大隊,2025-08-13,14:25:00,2769777146,121.27391304347826,25.02391304347826
中壢區-交流道B,CXY-1234,中壢派出所,2025-08-13,14:37:00,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-入口,CXY-1234,中壢派出所,2025-08-13,14:42:00,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,CXY-1234,中壢派出所,2025-08-13,14:49:00,2633412520,121.18913043478261,24.93913043478261
龍潭區-D市區,CXY-1234,龍潭派出所,2025-08-13,14:49:00,2401541871,121.24782608695652,24.997826086956522
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-13,16:41:35,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-13,17:11:35,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-13,17:22:35,2988156894,121.18260869565218,24.932608695652174
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-13,17:29:35,2116242969,121.20869565217392,24.958695652173912
交通幹道-AB段,AFR-5678,交通大隊,2025-08-13,17:36:35,2769777146,121.27391304347826,25.02391304347826
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-13,17:42:35,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-13,17:51:35,2860436411,121.15,24.9
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-13,18:09:39,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-13,18:21:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-13,18:29:00,2988156894,121.18260869565218,24.932608695652174
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-13,18:39:00,2116242969,121.20869565217392,24.958695652173912
交通幹道-AB段,BKE-6831,交通大隊,2025-08-13,18:47:00,2769777146,121.27391304347826,25.02391304347826
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-13,18:52:00,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-13,19:02:00,2860436411,121.15,24.9
龍潭區-D市區,CXY-1234,龍潭派出所,2025-08-14,02:04:25,2401541871,121.24782608695652,24.997826086956522
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-14,08:01:00,2860436411,121.15,24.9
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-14,08:07:00,2265252987,121.17608695652174,24.92608695652174
交通幹道-AB段,AFR-5678,交通大隊,2025-08-14,08:13:00,2769777146,121.27391304347826,25.02391304347826
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-14,08:25:00,2116242969,121.20869565217392,24.958695652173912
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-14,08:25:00,2860436411,121.15,24.9
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-14,08:30:00,2265252987,121.17608695652174,24.92608695652174
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-14,08:35:00,2988156894,121.18260869565218,24.932608695652174
交通幹道-AB段,BKE-6831,交通大隊,2025-08-14,08:42:00,2769777146,121.27391304347826,25.02391304347826
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-14,08:44:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-14,08:44:00,2633412520,121.18913043478261,24.93913043478261
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-14,08:49:00,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-14,08:55:00,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-14,09:05:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-14,09:05:00,2633412520,121.18913043478261,24.93913043478261
龍潭區-D風景區-入口,CXY-1234,龍潭派出所,2025-08-14,14:05:00,2431036517,121.23478260869565,24.984782608695653
交通幹道-CD段,CXY-1234,交通大隊,2025-08-14,14:11:00,2153961742,121.28695652173913,25.036956521739132
平鎮區-C大學路,CXY-1234,平鎮派出所,2025-08-14,14:16:00,2329739935,121.22173913043478,24.97173913043478
平鎮區-C住宅區-巷口,CXY-1234,平鎮派出所,2025-08-14,14:22:00,2832237050,121.21521739130435,24.965217391304346
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-14,17:31:03,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-14,17:53:15,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-14,18:00:03,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-14,18:12:03,2988156894,121.18260869565218,24.932608695652174
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-14,18:22:03,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-14,18:29:00,2633412520,121.18913043478261,24.93913043478261
交通幹道-AB段,AFR-5678,交通大隊,2025-08-14,18:34:03,2769777146,121.27391304347826,25.02391304347826
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-14,18:39:00,2988156894,121.18260869565218,24.932608695652174
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-14,18:41:03,2265252987,121.17608695652174,24.92608695652174
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-14,18:46:00,2116242969,121.20869565217392,24.958695652173912
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-14,18:50:03,2860436411,121.15,24.9
交通幹道-AB段,BKE-6831,交通大隊,2025-08-14,18:51:00,2769777146,121.27391304347826,25.02391304347826
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-14,19:01:00,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-14,19:07:00,2860436411,121.15,24.9
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-15,08:01:00,2860436411,121.15,24.9
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-15,08:06:00,2265252987,121.17608695652174,24.92608695652174
交通幹道-AB段,AFR-5678,交通大隊,2025-08-15,08:16:00,2769777146,121.27391304347826,25.02391304347826
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-15,08:28:00,2116242969,121.20869565217392,24.958695652173912
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-15,08:31:00,2860436411,121.15,24.9
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-15,08:37:00,2265252987,121.17608695652174,24.92608695652174
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-15,08:39:00,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-15,08:47:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-15,08:47:00,2633412520,121.18913043478261,24.93913043478261
交通幹道-AB段,BKE-6831,交通大隊,2025-08-15,08:47:00,2769777146,121.27391304347826,25.02391304347826
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-15,08:52:00,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-15,08:58:00,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-15,09:10:00,2633412520,121.18913043478261,24.93913043478261
龍潭區-D風景區-入口,CXY-1234,龍潭派出所,2025-08-15,09:10:00,2431036517,121.23478260869565,24.984782608695653
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-15,09:10:00,2633412520,121.18913043478261,24.93913043478261
交通幹道-AD段,CXY-1234,交通大隊,2025-08-15,09:16:00,2747352330,121.29347826086956,25.043478260869566
楊梅區-交流道A,CXY-1234,楊梅派出所,2025-08-15,09:28:00,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,CXY-1234,楊梅派出所,2025-08-15,09:39:00,2860436411,121.15,24.9
平鎮區-C住宅區-巷口,CXY-1234,平鎮派出所,2025-08-15,09:39:00,2832237050,121.21521739130435,24.965217391304346
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-15,17:46:10,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-15,18:17:14,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-15,18:22:10,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-15,18:29:10,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-15,18:33:00,2633412520,121.18913043478261,24.93913043478261
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-15,18:37:10,2116242969,121.20869565217392,24.958695652173912
交通幹道-AB段,AFR-5678,交通大隊,2025-08-15,18:42:10,2769777146,121.27391304347826,25.02391304347826
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-15,18:45:00,2988156894,121.18260869565218,24.932608695652174
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-15,18:53:10,2265252987,121.17608695652174,24.92608695652174
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-15,18:57:00,2116242969,121.20869565217392,24.958695652173912
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-15,19:01:10,2860436411,121.15,24.9
交通幹道-AB段,BKE-6831,交通大隊,2025-08-15,19:02:00,2769777146,121.27391304347826,25.02391304347826
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-15,19:08:00,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-15,19:14:00,2860436411,121.15,24.9
平鎮區-C住宅區-巷口,CXY-1234,平鎮派出所,2025-08-15,21:24:44,2832237050,121.21521739130435,24.965217391304346
平鎮區-C大學路,CXY-1234,平鎮派出所,2025-08-16,13:05:00,2329739935,121.22173913043478,24.97173913043478
交通幹道-CD段,CXY-1234,交通大隊,2025-08-16,13:15:00,2153961742,121.28695652173913,25.036956521739132
龍潭區-D市區,CXY-1234,龍潭派出所,2025-08-16,13:20:00,2401541871,121.24782608695652,24.997826086956522
交通幹道-AD段,CXY-1234,交通大隊,2025-08-16,13:30:00,2747352330,121.29347826086956,25.043478260869566
楊梅區-A幹道-路口1,CXY-1234,楊梅派出所,2025-08-16,13:35:00,2345667088,121.15652173913044,24.906521739130433
平鎮區-C大學路,CXY-1234,平鎮派出所,2025-08-17,13:08:00,2329739935,121.22173913043478,24.97173913043478
交通幹道-CD段,CXY-1234,交通大隊,2025-08-17,13:17:00,2153961742,121.28695652173913,25.036956521739132
龍潭區-D市區,CXY-1234,龍潭派出所,2025-08-17,13:29:00,2401541871,121.24782608695652,24.997826086956522
交通幹道-AD段,CXY-1234,交通大隊,2025-08-17,13:39:00,2747352330,121.29347826086956,25.043478260869566
楊梅區-A幹道-路口1,CXY-1234,楊梅派出所,2025-08-17,13:48:00,2345667088,121.15652173913044,24.906521739130433
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-18,07:54:00,2860436411,121.15,24.9
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-18,08:06:00,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-18,08:12:00,2860436411,121.15,24.9
交通幹道-AB段,AFR-5678,交通大隊,2025-08-18,08:18:00,2769777146,121.27391304347826,25.02391304347826
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-18,08:23:00,2265252987,121.17608695652174,24.92608695652174
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-18,08:26:00,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-18,08:32:00,2988156894,121.18260869565218,24.932608695652174
交通幹道-AB段,BKE-6831,交通大隊,2025-08-18,08:32:00,2769777146,121.27391304347826,25.02391304347826
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-18,08:39:00,2116242969,121.20869565217392,24.958695652173912
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-18,08:44:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-18,08:44:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-18,08:46:00,2988156894,121.18260869565218,24.932608695652174
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-18,08:55:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-18,08:55:00,2633412520,121.18913043478261,24.93913043478261
平鎮區-C大學路,CXY-1234,平鎮派出所,2025-08-18,13:11:00,2329739935,121.22173913043478,24.97173913043478
交通幹道-CD段,CXY-1234,交通大隊,2025-08-18,13:23:00,2153961742,121.28695652173913,25.036956521739132
龍潭區-D市區,CXY-1234,龍潭派出所,2025-08-18,13:35:00,2401541871,121.24782608695652,24.997826086956522
交通幹道-AD段,CXY-1234,交通大隊,2025-08-18,13:40:00,2747352330,121.29347826086956,25.043478260869566
楊梅區-A幹道-路口1,CXY-1234,楊梅派出所,2025-08-18,13:46:00,2345667088,121.15652173913044,24.906521739130433
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-18,16:49:10,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,AFR-5678,中壢派出所,2025-08-18,17:19:10,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-入口,AFR-5678,中壢派出所,2025-08-18,17:26:10,2988156894,121.18260869565218,24.932608695652174
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-18,17:35:10,2116242969,121.20869565217392,24.958695652173912
交通幹道-AB段,AFR-5678,交通大隊,2025-08-18,17:46:10,2769777146,121.27391304347826,25.02391304347826
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-18,17:54:10,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-18,18:00:10,2860436411,121.15,24.9
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-18,18:20:45,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-內部,BKE-6831,中壢派出所,2025-08-18,18:35:00,2633412520,121.18913043478261,24.93913043478261
中壢區-B園區-入口,BKE-6831,中壢派出所,2025-08-18,18:40:00,2988156894,121.18260869565218,24.932608695652174
中壢區-交流道B,BKE-6831,中壢派出所,2025-08-18,18:52:00,2116242969,121.20869565217392,24.958695652173912
交通幹道-AB段,BKE-6831,交通大隊,2025-08-18,18:58:00,2769777146,121.27391304347826,25.02391304347826
楊梅區-交流道A,BKE-6831,楊梅派出所,2025-08-18,19:03:00,2265252987,121.17608695652174,24.92608695652174
楊梅區-A住宅區-巷口,BKE-6831,楊梅派出所,2025-08-18,19:08:00,2860436411,121.15,24.9
楊梅區-A住宅區-巷口,AFR-5678,楊梅派出所,2025-08-19,08:00:00,2860436411,121.15,24.9
楊梅區-交流道A,AFR-5678,楊梅派出所,2025-08-19,08:12:00,2265252987,121.17608695652174,24.92608695652174
交通幹道-AB段,AFR-5678,交通大隊,2025-08-19,08:17:00,2769777146,121.27391304347826,25.02391304347826
中壢區-交流道B,AFR-5678,中壢派出所,2025-08-19,08:25:00,2116242969,121.20869565217392,24.958695652173912
